Bridges ,none,RPA_Geomat,15.2.2013,Iva,16.2.2013,64,3,
Vestizione muri in calce con linee suolo,none,RPA_Geomat,14.2.2013,Daniel,15.2.2013 ã.,943,"6,5",
Vestizione scarpate con manufatti al suolo,none,RPA_Geomat,15.2.2013,Daniel,15.2.2013 ã.,233,2,
Vestizione scarpate con linee suolo,none,RPA_Geomat,15.2.2013,Daniel,18.2.2013 ã.,955,"7,5",
Tombino ,none,RPA_Geomat,20.2.2013,Kremena,20.2.2013 ã.,227,,
Topology,none,RPA_Geomat,25.2.2013,Kremena,,96,,
Recognise,none,RPA_Geomat,14.1.2013,Petko,23.1.2013 ã.,,27,
